Time (s),Frequency (Hz),Flux (mJy),UB Error,LB Error
11816489.885931859,3000000000.0,1949.5809759775962,229.3624677620701,229.3624677620701
63733294.07218163,3000000000.0,33.15791653832696,3.90093135745023,3.90093135745023
343751216.5204919,3000000000.0,1.9950520646682528,0.2347120076080297,0.2347120076080297
1854052902.4828064,3000000000.0,0.2959502219089584,0.03481767316575981,0.03481767316575981
9578995.650215907,3000000000.0,4599.241329628791,1452.3919988301445,1452.3919988301445
10000000000.0,3000000000.0,0.030409408671344167,0.009602971159371842,0.009602971159371842
10292652.846274722,3000000000.0,3732.901049268323,995.4402798048859,995.4402798048859
101941624.49000227,3000000000.0,18.076046896472903,4.820279172392773,4.820279172392773
1009661450.6358192,3000000000.0,0.5517575872439836,0.1471353565983956,0.1471353565983956
10000000000.0,3000000000.0,0.029594135523064523,0.007891769472817204,0.007891769472817204
105396780.76269306,3000000000.0,12.933485110098921,1.5895021301740544,1.5904908816978396
10000000000.0,3000000000.0,0.026208462038899698,0.003220859719910865,0.0032214793006902723
38949924.75597413,3400000000.0,74.7493714142541,11.13377222802356,11.284522996937381
624098748.2440122,3400000000.0,0.8812325259158759,0.13246641575179247,0.13082328529360365
99889165.69886288,3500000000.0,11.210891923514554,2.445221446259302,2.3249414862052085
10832913.981649153,5000000000.0,2179.52463857537,349.8002506355531,349.8002506355531
11592979.772622129,5500000000.0,1805.1448642485777,288.82317827977243,288.82317827977243
110356195.21026984,5500000000.0,9.147135991823152,1.4635417586917043,1.4635417586917043
1050505569.762818,5500000000.0,0.3978642412963547,0.06365827860741675,0.06365827860741675
97019081.04631148,5500000000.0,8.685967100355693,1.3781916831977015,1.42310313256682
9016723.162390815,5500000000.0,3192.7452194669786,868.1898172183851,870.1909676929381
10000000000.0,6000000000.0,0.017457686345501773,0.004734287822508955,0.004734287822508955
102146288.60977091,6000000000.0,9.19314047870299,2.077986888993517,2.0174378338147223
10000000000.0,6000000000.0,0.018707974327891022,0.004224804007603491,0.004230439669430863
10301541.3078244,6000000000.0,3345.2541760249596,1254.47031600936,1254.47031600936
10000000000.0,6000000000.0,0.02556522177569344,0.00958695816588504,0.00958695816588504
9893012.22800605,7000000000.0,1879.9867382508648,215.73618307796804,215.73618307796804
9971518.20704935,9000000000.0,2019.1614422467433,403.80759175067215,398.97897821459424
56113966.032544546,9000000000.0,23.786201253244442,4.945735936186846,4.961709947310232
315777108.2116208,9000000000.0,1.0783248484505021,0.21102583488071971,0.21336855194970664
1777011840.736077,9000000000.0,0.10902429304697253,0.022076922411390167,0.022479609693574553
29376302.496893693,9000000000.0,66.68395040037954,10.755475871028954,10.755475871028954
205115314.72855303,9000000000.0,1.7074644457166706,0.2753974912446242,0.2753974912446242
1432184746.213114,9000000000.0,0.15276323127188624,0.02463923085030422,0.02463923085030422
29316217.257316064,10000000000.0,47.077376257616244,11.769344064404061,11.769344064404061
204835528.93937638,10000000000.0,1.7219635671457934,0.43049089178644834,0.43049089178644834
1431207633.2222953,10000000000.0,0.2195682952992531,0.05489207382481327,0.05489207382481327
10416465.958957385,15000000000.0,1101.6961727832802,262.30861256744754,262.30861256744754
102757516.45879461,15000000000.0,4.1182805738792325,0.9805429937807693,0.9805429937807693
1013693821.9146578,15000000000.0,0.16904756609019914,0.040249420497666444,0.040249420497666444
42609430.83494444,508122810169500.0,0.01807975347322666,0.004995620499894792,0.004995620499894792
262827309.13301376,508122810169500.0,0.0010571630751141747,0.0002921049525145802,0.0002921049525145802
1621194957.8413222,508122810169500.0,5.648218921570383e-05,1.5606605628928934e-05,1.5606605628928934e-05
42248279.24926229,508122810169500.0,0.015373233633447766,0.002857656312120357,0.002884963412707993
649986763.3210864,508122810169500.0,0.00023218924795473102,4.413987874342486e-05,4.483506415633386e-05
24265733.84603604,2.418e+17,1.5140224787954266e-05,7.158586817518026e-06,7.2482329375094825e-06
492602617.18789256,2.418e+17,1.577052835847446e-07,6.892824376482525e-08,7.439601676862678e-08
23986315.37869759,2.418e+17,2.9826957676898485e-05,7.56335324046836e-06,7.534776155494175e-06
80162422.24705598,2.418e+17,5.493436459089668e-06,1.202330674889618e-06,1.386429228214631e-06
267903337.3430192,2.418e+17,7.149652218160151e-07,2.1218641457067573e-07,1.8335971440638477e-07
895334698.5739783,2.418e+17,1.133138560901153e-07,2.821909919319712e-08,2.974394506850381e-08
20892020.317690704,2.418e+17,5.3300876624737306e-05,9.518310381634627e-06,1.0129932427065411e-05
163425677.10648263,2.418e+17,1.3127811605016127e-06,2.3361141600603594e-07,2.353653261826764e-07
36428371.61237245,1.20899718108e+18,4.040524968600856e-06,1.0259708865888737e-06,1.1983204556958723e-06
236751735.9877853,1.20899718108e+18,1.2858713308565945e-07,3.264925696371805e-08,4.143143916059562e-08
30647343.510665726,4800000000.0,116.79237007181167,6.098684197667059,6.162028371155833
210990009.05507478,4800000000.0,2.8445584267165462,0.1505357023983535,0.1485221859947291
1452549513.9756045,4800000000.0,0.27048768708061716,0.014305196274876471,0.01411542106132164
10388306.203411803,8600000000.0,1616.5277679033893,61.285911459985485,62.089805539028276
322308954.3188613,8600000000.0,1.0905861261913778,0.04176548476189092,0.04120373070843802
22890684.460393015,455000000000000.0,0.057830260452638574,0.00015695454566822835,0.00015720765375171991
104651169.03686948,455000000000000.0,0.0038978750945906997,1.0558503699705309e-05,1.0595169345737272e-05
20230874.55612253,545000000000000.0,0.06022132359993126,0.00014650202926455667,0.00014616246138465696
56886892.97961244,545000000000000.0,0.009145904980465858,2.215456571186419e-05,2.209457728074144e-05
159959401.8487215,545000000000000.0,0.0015208882385458944,3.6799249188938765e-06,3.682551847770024e-06
