Time (s),Frequency (Hz),Flux (mJy),UB Error,LB Error
13962.943322433002,3000000000.0,183498.41914786564,21588.0493115136,21588.0493115136
75310.3824801055,3000000000.0,353169.38342091907,41549.33922599047,41549.33922599047
9175.71576668554,3000000000.0,202317.67687702877,63889.792698009085,63889.792698009085
10593.870261392718,3000000000.0,200065.7315625724,53350.86175001929,53350.86175001929
104924.97514608887,3000000000.0,169452.61269532092,45187.3633854189,45187.3633854189
11707.981782099356,3000000000.0,154005.58983224182,18927.71145888668,18915.376890650747
9468.181130505836,3400000000.0,209128.08031903036,31696.32862332204,30743.06453328801
9966.786548770631,3500000000.0,163404.55526504206,34176.20625659952,34714.21981648187
11735.202533380985,5000000000.0,263400.2784734596,42274.11876734535,42274.11876734535
13439.718000842542,5500000000.0,283787.0931435974,45405.93490297559,45405.93490297559
9132.117066503031,5500000000.0,234512.46139253542,38594.06093011962,38428.98345325282
8130.129658719482,5500000000.0,292038.0698617049,79821.49165150836,79435.65287056702
8188.493357843704,6000000000.0,227465.3479407543,61685.51808562828,61685.51808562828
10657.805117281452,6000000000.0,181091.69226617407,40247.390058423254,39834.14045458026
10612.175331681246,6000000000.0,267312.7702633519,100242.28884875696,100242.28884875696
9787.16909434772,7000000000.0,198738.46241366988,22806.05306386375,22806.05306386375
9798.515374949347,9000000000.0,298728.535077036,60852.108997174,60852.108997174
9943.117535351666,9000000000.0,224390.34999098614,48137.88320388031,46205.513384378304
12359.283864057583,9000000000.0,176348.1913060277,28443.25666226252,28443.25666226252
86296.71483890008,9000000000.0,546795.4794526432,88192.81926655532,88192.81926655532
12300.379388320023,10000000000.0,337861.68171326956,84465.42042831739,84465.42042831739
85944.05942781581,10000000000.0,673191.3416768032,168297.8354192008,168297.8354192008
10850.276307411794,15000000000.0,258577.9029101972,61566.16735957074,61566.16735957074
107037.01722200373,15000000000.0,743122.1313171495,176933.84078979742,176933.84078979742
125.41585508282115,508122810169500.0,2500925.995150232,691031.3898136666,691031.3898136666
773.6013147352527,508122810169500.0,1315660.0191112068,363530.297694426,363530.297694426
4771.796945170175,508122810169500.0,246680.49315739557,68160.33915319268,68160.33915319268
29433.825476017853,508122810169500.0,37940.652152696275,10483.389607831898,10483.389607831898
49.01529126367955,508122810169500.0,2598777.728987197,500622.9920960229,484609.45532149414
754.0967605745898,508122810169500.0,1989266.09043141,383466.44755298493,364430.2113238049
11601.724883158457,508122810169500.0,93112.62196162503,17243.817503044364,17710.993575898276
7.038449587527561,2.418e+17,340390.13414612797,145096.4485804617,161874.36352970332
142.88291092945815,2.418e+17,41803.257519534614,21074.9243537248,18293.103517994576
2900.571494019463,2.418e+17,312.365424434521,128.5903556615746,154.72808341485648
58882.58390866614,2.418e+17,9.756691872020875,4.347154749738352,4.769747557106145
12.355946940363168,2.418e+17,104208.46330947735,24970.218737448096,28916.78982192928
41.293655163696606,2.418e+17,104581.18541630545,28610.164128203964,26897.978806890547
138.00366455184607,2.418e+17,22092.561451107344,5345.823761524128,6294.742305865169
461.2091459145503,2.418e+17,6207.320530828654,1576.0519475901167,1472.467825013293
1541.3639700510635,2.418e+17,958.9845667639577,270.8691056393046,244.12704087077057
5151.248428650526,2.418e+17,102.21618778173189,28.299556767534845,25.123809082461392
17215.505804768098,2.418e+17,37.19222410137078,9.850570230710886,10.022469573236783
57534.33254463421,2.418e+17,9.269875885248183,2.348633550734633,2.4207830863457778
11.657393729937045,2.418e+17,266566.83439805405,47252.97181262685,48809.101353364626
91.18876176846486,2.418e+17,37775.91611828557,6746.014182302041,7263.05584794714
713.3146967071466,2.418e+17,3547.153062980844,635.8599126984803,695.6723924978205
5579.830745265902,2.418e+17,233.40781566957997,42.23179416765048,43.41742706142508
43647.651295480115,2.418e+17,13.439562958377717,2.377528740405204,2.75621143988426
11.44491171430629,1.20899718108e+18,94315.26187696744,23481.13950468705,23072.37270350698
74.38165903821705,1.20899718108e+18,7698.649611187374,2564.4334725387225,2075.022759984689
483.4140567778882,1.20899718108e+18,968.1782600172517,270.12760576033224,255.56579782435352
3141.75770360791,1.20899718108e+18,87.34691429384358,24.259820563945194,24.074170657228642
20418.606637073568,1.20899718108e+18,5.468353814727171,1.4527162017914894,1.6262293171699622
9.389230398672433,1.20899718108e+18,69675.6915703339,8434.425821671994,8434.425821671994
94.55208448812218,1.20899718108e+18,5732.872003674746,693.9792425501005,693.9792425501005
952.16501262053,1.20899718108e+18,369.60640953481965,44.74182852263604,44.74182852263604
9588.558688756822,1.20899718108e+18,16.59226431563006,2.0085372592604798,2.0085372592604798
96559.3741726523,1.20899718108e+18,0.48675239885351956,0.05892265880858391,0.05892265880858391
13643.211688188247,4800000000.0,241781.2359874855,12685.760650002692,12688.806416879826
10791.690577584426,8600000000.0,264254.2438644112,10130.030069620178,10172.38638481042
76.66230052715655,372000000000000.0,2978351.6918022246,6428.585670636625,6430.840038702052
119.9433947455203,455000000000000.0,2981013.0975517514,8100.195834269282,8089.833791595631
548.3547903553562,455000000000000.0,2039338.5408655289,5540.629666742269,5522.053562033504
82.80259957307393,545000000000000.0,3006332.9668598277,7289.869874218571,7266.778010860536
232.8313888398684,545000000000000.0,2316315.5677048257,5615.003726304003,5626.2189638507825
115087.15957581067,545000000000000.0,2286.653673728196,5.543957594576452,5.530575800292497
8.143092749815914,1.08e+18,95867.05877710455,1.1865806882540344,1.1865397705668983
21.083141261966276,1.08e+18,41511.54254734694,0.5138009724047138,0.5137920911399343
54.58599811258115,1.08e+18,13735.0501074584,0.1700030245316403,0.16999887549596754
141.32766806063822,1.08e+18,4261.312829220478,0.05274377934588019,0.05274227348976249
365.9090325373088,1.08e+18,1317.791751175459,0.016310776870044136,0.016310416539555245
947.3687773220923,1.08e+18,398.1797015471771,0.004928388971297878,0.00492828403111592
2452.816193197536,1.08e+18,120.29266497145828,0.0014889015655476625,0.001488866036975957
6350.544182613065,1.08e+18,35.03426926990603,0.00043362989656290914,0.00043361750847283054
16442.08462385695,1.08e+18,9.70747382951942,0.00012015255833929554,0.0001201485723510363
42569.918262789855,1.08e+18,2.3934885555652685,2.9625050216579652e-05,2.962426670106107e-05
110217.0425683835,1.08e+18,0.4091725628450234,5.064452428628266e-06,5.064329678540375e-06
