Time (s),Frequency (Hz),Flux (mJy),UB Error,LB Error
406193.2773291173,3000000000.0,23.866962825136312,2.807877979427801,2.807877979427801
2190839.737017069,3000000000.0,940.547762413847,110.6526779310408,110.6526779310408
1039209.4803660609,3000000000.0,165.8020389610211,44.21387705627229,44.21387705627229
1110848.1395139163,3000000000.0,219.96023177964213,27.01984126577562,27.03391008030694
2430859.928440192,3400000000.0,662.3620410133659,101.59629904720865,102.6888628907435
997784.5424014885,3500000000.0,155.46369667245452,31.548716321498315,32.192375797365806
1217848.982128721,5500000000.0,227.29327434622508,36.36692389539601,36.36692389539601
941270.2087070757,5500000000.0,151.18155789423128,24.268268124605548,24.48265558737418
1043386.4276750592,6000000000.0,70.94447737056356,15.818897737204125,16.006211695355034
314877.71839015634,9000000000.0,5.33207765839993,1.0838855820799649,1.0997881605841346
1771950.5924042035,9000000000.0,391.8054446429185,81.37772338502045,81.60888896549021
602552.9532211528,9000000000.0,27.874920703531217,4.495954952182452,4.495954952182452
4207229.233619336,9000000000.0,1380.7871338510333,222.70760223403755,222.70760223403755
600500.2868403998,10000000000.0,37.62537900903617,9.406344752259043,9.406344752259043
4195759.391587393,10000000000.0,1374.5021581904184,343.6255395476046,343.6255395476046
1055910.7188779444,15000000000.0,106.25078404354691,25.297805724654015,25.297805724654015
181556.35960779214,508122810169500.0,0.0010633556859275342,0.0002938160341160467,0.0002938160341160467
1119892.205003771,508122810169500.0,0.04438167360795537,0.012263109606215922,0.012263109606215922
6907819.442610077,508122810169500.0,0.39106052298779664,0.10805401568281242,0.10805401568281242
178491.70995236535,508122810169500.0,0.0007916673662117946,0.0001588804379307588,0.0001452816017960989
2746082.228511352,508122810169500.0,0.12361031894443475,0.02259769434175822,0.02239164402728757
1195336.4000542178,2.418e+17,1.9633034692765072e-05,8.409865971595652e-06,9.440689974178982e-06
192280.1141538201,2.418e+17,1.053675918087224e-06,2.846762062377406e-07,2.6726630433422604e-07
642601.394051527,2.418e+17,2.7234235387259713e-05,8.306400096399013e-06,6.520763005990348e-06
2147578.0449486584,2.418e+17,3.396482557794927e-05,8.139473955157315e-06,8.551118570981648e-06
7177219.815952783,2.418e+17,0.00012606822137362057,3.733066895706573e-05,3.5114783637876685e-05
341429.2566540988,2.418e+17,1.0245847709807567e-05,1.8341762287429753e-06,2.0297980024142387e-06
2670795.1937712207,2.418e+17,0.0001498249200747477,2.7007591595986386e-05,2.7223901176129397e-05
132702.6258329103,1.20899718108e+18,2.248054744962183e-08,6.542124584681243e-09,5.405086307185507e-09
862448.0218437335,1.20899718108e+18,6.120403646626273e-06,1.7415220410442179e-06,1.4886411477999666e-06
5605138.449322999,1.20899718108e+18,3.9421561373697244e-05,1.3130279075346577e-05,1.0061505155360929e-05
972378.9615583112,1.20899718108e+18,9.047158366532555e-06,1.095182328580256e-06,1.095182328580256e-06
646628.3284829349,4800000000.0,55.033072440791074,2.8694176652912513,2.8866864874856915
4451678.392106072,4800000000.0,2152.4032441861264,113.25117465584607,113.22152239777974
334824.4109565805,8600000000.0,8.730446115226524,0.3393165793045085,0.3369320861152551
5673260.676087628,372000000000000.0,0.4045431770282675,0.0008733871732379386,0.0008731422524405138
239553.6888834221,455000000000000.0,0.0031002995574569963,8.428381619874457e-06,8.419390957351623e-06
1095186.7180783383,455000000000000.0,0.07320799997929642,0.00019879966489977678,0.00019840087493334688
5006952.525113929,455000000000000.0,0.30241519354069485,0.0008225790068002091,0.0008204139400471957
323611.8592873879,545000000000000.0,0.008293361675378716,2.0012276920111395e-05,2.003328345096933e-05
909959.3374051059,545000000000000.0,0.047944600908563645,0.0001157270602186806,0.00011651478782706287
2558701.023980082,545000000000000.0,0.14613225776659275,0.000353060474008331,0.00035439982432973157
7194773.064021074,545000000000000.0,0.2705704379222734,0.0006565323047412349,0.0006540178899393529
4952591.4360035155,1.08e+18,3.963171837015151e-05,4.905335390106711e-10,4.90522319662564e-10
