Time (s),Frequency (Hz),Flux (mJy),UB Error,LB Error
406193.2773291173,3000000000.0,0.09308414142076245,0.011750899381603836,0.009773491507800762
2190839.737017069,3000000000.0,0.12925931084684664,0.014714875953151225,0.012847007551783182
11816489.885931859,3000000000.0,0.20401259123843563,0.02424397818650644,0.02072948976545475
75515.7462098955,3000000000.0,0.03683729663584514,0.011619874699056778,0.011891870379305513
407142.5048476913,3000000000.0,0.08551253655327748,0.02739264594605035,0.02516229284382175
2195105.3597869496,3000000000.0,0.18315996735800372,0.058133020202603074,0.05793258918438546
11834891.919152338,3000000000.0,0.2510855127605472,0.08034974757822846,0.08084828294741306
55651.672886354296,3000000000.0,0.029135770650570665,0.007769538840152176,0.007769538840152176
1765103.4337825682,3000000000.0,0.18018810312670266,0.04805016083378737,0.04805016083378737
9940680.782392714,3000000000.0,0.26338923338933684,0.07023712890382314,0.07023712890382314
55983764.19543268,3000000000.0,0.05630695019118041,0.015015186717648107,0.015015186717648107
95548.11669991518,3000000000.0,0.033117008854799034,0.004075380077374963,0.004070589857544489
964223.4848556236,3000000000.0,0.13050374516684968,0.016052146695562434,0.016056725724605713
9730457.91856982,3000000000.0,0.24665376965229874,0.03029132936467576,0.03028978261362048
2589601.7788007036,3400000000.0,0.17159573425890456,0.025851745078132825,0.026228059776006934
10294799.129237795,3500000000.0,0.15692293035449326,0.03168143543035895,0.0328729862441205
1716273.8165165384,5000000000.0,0.09421818328698507,0.014470630160809971,0.013112643476717324
9720067.068033429,5000000000.0,0.14677215944450123,0.024533242370946798,0.02440469449025768
954945.2412203299,5500000000.0,0.07499730050789183,0.010950209238650572,0.012977696324896345
9660149.58996166,5500000000.0,0.14801250958332543,0.02282751973379931,0.02380323746011458
2307207.629180389,5500000000.0,0.12384438778932476,0.019729930484896102,0.019885743634622092
37617603.05449544,5500000000.0,0.06853763280907366,0.010929313710510884,0.011276625165541669
98703.95747128715,5500000000.0,0.040671953292906446,0.011137255433029713,0.011047880939072607
1760965.8112923398,5500000000.0,0.09857781969583455,0.02706350350825038,0.026877827789004542
31417185.976991504,5500000000.0,0.1366187797741339,0.03736532156106109,0.03708630599431123
11242.983284448948,6000000000.0,0.016658690242489692,0.0045060872274710305,0.004442893455622348
110255.76429759445,6000000000.0,0.04360846524468523,0.011780528533673227,0.01155063290730131
1081237.3596304376,6000000000.0,0.13783472738794578,0.03612052280937418,0.03746662224310842
10603293.490443878,6000000000.0,0.18082478016263726,0.05043096456485559,0.04767960463561987
9893012.22800605,6000000000.0,0.09843529360184508,0.022280852034995535,0.022362968978965784
9898745.05932411,6000000000.0,0.12137552353389451,0.045059671490213796,0.04573569575455828
2040853.8106243196,7000000000.0,0.07795780764343122,0.009122001167339047,0.008627348528491462
11164763.22674506,7000000000.0,0.14291718463732242,0.016122744425111194,0.015424440940662065
330643.5614676917,9000000000.0,0.06635975020401383,0.01407362173943832,0.013003395082760282
10301648.17122896,9000000000.0,0.11868899769845621,0.023659882526797862,0.022714615718524594
870323.8298409388,9000000000.0,0.06102052571699088,0.012895138824215167,0.012432983137058425
174559.5892926878,10000000000.0,0.030547016333761175,0.007156607408806495,0.0076873654735099585
2700584.580058763,10000000000.0,0.06938789502358576,0.017393606444295086,0.018032492305415673
41780329.018892154,10000000000.0,0.04547358988715546,0.01112328991348424,0.011891430016235516
100692.06496662895,15000000000.0,0.0334795846514563,0.007975113575793568,0.008006861097311621
