t,nu,mJy,upperlimit,Instrument,Counts,Background,filter
19094400.0,5500000000.0,6.000000000000e-02+-1.200000000000e-02,0.0,b'Radio',-1.0,-1.0,5.5 GHz
23068800.0,5500000000.0,3.600000000000e-02+-8.000000000000e-03,0.0,b'Radio',-1.0,-1.0,5.5 GHz
25747200.0,5500000000.0,2.800000000000e-02+-7.000000000000e-03,0.0,b'Radio',-1.0,-1.0,5.5 GHz
27648000.0,5500000000.0,2.700000000000e-02+-8.000000000000e-03,0.0,b'Radio',-1.0,-1.0,5.5 GHz
31017600.0,5500000000.0,<8.666666666667e-03,3.0,b'ATCA',-1.0,-1.0,5.5 GHz
209088.0,6000000000.0,<6.666666666667e-03,3.0,b'Radio',-1.0,-1.0,6 GHz
462240.0,6000000000.0,<6.333333333333e-03,3.0,b'Radio',-1.0,-1.0,6 GHz
1162080.0,6000000000.0,<7.666666666667e-03,3.0,b'Radio',-1.0,-1.0,6 GHz
1671840.0,6000000000.0,1.600000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
1682208.0,6000000000.0,1.900000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
1845504.0,6000000000.0,1.400000000000e-02+-3.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
2018304.0,6000000000.0,2.300000000000e-02+-3.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
3389472.0,6000000000.0,2.700000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
18748800.0,6000000000.0,3.900000000000e-02+-9.000000000000e-03,0.0,b'Radio',-1.0,-1.0,6 GHz
47995200.0,6000000000.0,5.900000000000e-03+-1.600000000000e-03,0.0,b'VLA',-1.0,-1.0,6 GHz
63396000.0,6000000000.0,<2.800000000000e-03,3.0,b'VLA',-1.0,-1.0,6 GHz
14073696.0,7000000000.0,6.100000000000e-02+-7.000000000000e-03,0.0,b'VLA',-1.0,-1.0,7 GHz
31017600.0,7250000000.0,<6.000000000000e-03,3.0,b'ATCA',-1.0,-1.0,7.25 GHz
6307200.0,9000000000.0,3.100000000000e-02+-5.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
7948800.0,9000000000.0,2.100000000000e-02+-7.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
9331200.0,9000000000.0,5.200000000000e-02+-7.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
10800000.0,9000000000.0,7.200000000000e-02+-9.000000000000e-03,0.0,b'ATCA',-1.0,-1.0,9 GHz
12873600.0,9000000000.0,5.000000000000e-02+-7.000000000000e-03,0.0,b'ATCA',-1.0,-1.0,9 GHz
14073696.0,9000000000.0,5.500000000000e-02+-1.000000000000e-02,0.0,b'VLA',-1.0,-1.0,9 GHz
15724800.0,9000000000.0,5.400000000000e-02+-1.100000000000e-02,0.0,b'Radio',-1.0,-1.0,9 GHz
19094400.0,9000000000.0,<1.000000000000e-02,3.0,b'Radio',-1.0,-1.0,9 GHz
23068800.0,9000000000.0,2.300000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
