time (s),Frequency (Hz),Flux (mJy),Flux error
1.0,4800000000.0,1.2242295877344146e-05,4.726125899145493e-06
1.4412056208468973,4800000000.0,1.8991298331153213e-05,6.435624623450001e-06
2.0770736415606903,4800000000.0,1.6880773015582813e-05,5.100863521308919e-06
2.9934902071302005,4800000000.0,2.3718914047346176e-05,1.4092144930728914e-05
4.314234912466188,4800000000.0,2.627622561697584e-05,9.69073030395409e-06
6.217699605500191,4800000000.0,4.019554403017378e-05,2.222194079662462e-05
8.960983620184411,4800000000.0,3.68801277815757e-05,2.4376111417615238e-05
12.914619961726748,4800000000.0,6.59248652903882e-05,3.172806508417636e-05
18.612622879942133,4800000000.0,9.842962700105354e-05,4.76912098228367e-05
26.82461671327616,4800000000.0,6.295023251406815e-05,2.1766613947685047e-05
38.65978838423723,4800000000.0,8.102816571062133e-05,3.2181195864689636e-05
55.7167043201143,4800000000.0,0.00010267045952937267,9.576792401905669e-06
80.29922744121332,4800000000.0,0.00012747184981354588,6.93604423876033e-05
115.72769793794001,4800000000.0,0.00018713013031094116,0.00010287728678440887
166.787408755831,4800000000.0,0.0001997419207735052,8.055277758673229e-05
240.3749509853928,4800000000.0,0.00018672917569762041,8.284167807362546e-05
346.4297304709454,4800000000.0,0.00023289664696561906,7.370814927656655e-05
499.27647478320205,4800000000.0,0.00038485494710468126,0.00019354913861659363
719.5600618141748,4800000000.0,0.00040890211777081794,0.0003191045040594617
1037.0340056235302,4800000000.0,0.00046464966588854735,0.00033397330235194735
1494.5792379140041,4800000000.0,0.0005575827046670128,0.00022804179716870042
2153.9959984827346,4800000000.0,0.0006551426757774735,0.0002671620726461081
3104.3511402950435,4800000000.0,0.000871164828690163,0.0002930376664787158
4474.008312475691,4800000000.0,0.0008677046240430461,0.00021229616937412554
6447.965927655705,4800000000.0,0.0011385611856417155,0.0004034393070596792
9292.844737966678,4800000000.0,0.0024083868226802297,0.0009894530247276504
13392.900070015085,4800000000.0,0.002016699332850867,0.0011422890519806217
19301.92286034654,4800000000.0,0.0020309866738734495,0.001637438157602672
27818.03971948465,4800000000.0,0.0025344411689433043,0.0005704658873364514
40091.51520466351,4800000000.0,0.0037819056122583225,0.002093783953262847
57780.11706122998,4800000000.0,0.004057513889975249,0.001431470073044785
83273.02948183633,4800000000.0,0.0032854326304303807,0.0004412229724045414
120013.55815417189,4800000000.0,0.00417762953764211,0.00104521688392295
172964.21458962845,4800000000.0,0.0030232826159247795,0.001392390359560635
249276.99827194138,4800000000.0,0.0009648465735742967,0.00043593714398245894
359259.41105736414,4800000000.0,0.00035269923300701667,0.0001731073441415678
517766.682558019,4800000000.0,0.0001308795549727755,2.8023591529918122e-05
746208.253189868,4800000000.0,5.844080699938735e-05,2.393662087546792e-05
1075439.528819584,4800000000.0,2.2518891637751083e-05,1.2821172800379592e-05
1549929.4938157229,4800000000.0,7.636164415652123e-06,2.3520496085256556e-06
2233767.0984036056,4800000000.0,3.391689654048984e-06,1.7040085649559231e-06
3219317.6978821396,4800000000.0,1.807632165975829e-06,4.3267861473843145e-07
4639698.761479632,4800000000.0,9.04147727817393e-07,5.624042932080351e-07
6686759.934080832,4800000000.0,3.5584065932682655e-07,1.9419212739189216e-07
9636996.002251137,4800000000.0,1.6639401546911242e-07,5.9236935622820135e-08
13888892.80652339,4800000000.0,8.745715448531165e-08,3.6816070778677765e-08
20016750.380101576,4800000000.0,5.049468962269113e-08,1.7878879512899075e-08
28848253.158891603,4800000000.0,2.588813141403763e-08,6.400702888698089e-09
41576264.6042089,4800000000.0,1.4911032813063975e-08,4.509605738605507e-09
59919946.24140365,4800000000.0,9.784873953343163e-09,5.719929795162626e-09
1.0,8600000000.0,1.6577963302056294e-05,7.212228756747855e-06
1.4412056208468973,8600000000.0,2.006705043244497e-05,1.0503982773164263e-05
2.0770736415606903,8600000000.0,2.6917946354201424e-05,1.1220853635373923e-05
2.9934902071302005,8600000000.0,2.6111784775939008e-05,1.3174101458899902e-05
4.314234912466188,8600000000.0,3.3214755649454424e-05,8.153734190966023e-06
6.217699605500191,8600000000.0,5.502317344886014e-05,3.0761258652180355e-05
8.960983620184411,8600000000.0,5.0045129821740705e-05,1.1209800701215725e-05
12.914619961726748,8600000000.0,6.831410660439996e-05,3.9356651487350125e-05
18.612622879942133,8600000000.0,8.039003568032867e-05,3.342169784711413e-05
26.82461671327616,8600000000.0,7.913621455656267e-05,2.946355435676348e-05
38.65978838423723,8600000000.0,0.00013841132654288354,3.365984469684173e-05
55.7167043201143,8600000000.0,0.0001127755392950409,6.876300201777732e-05
80.29922744121332,8600000000.0,0.00014361496723987597,7.346164787607343e-05
115.72769793794001,8600000000.0,0.00017353799044009664,3.1758128664609765e-05
166.787408755831,8600000000.0,0.00018956701348748513,3.401578328148294e-05
240.3749509853928,8600000000.0,0.00044207418658168514,0.00019372848602752156
346.4297304709454,8600000000.0,0.00030979031795028676,0.0001491014981019535
499.27647478320205,8600000000.0,0.00047550349197050216,0.00020508952091986772
719.5600618141748,8600000000.0,0.0005176876390853495,0.00011298944478398361
1037.0340056235302,8600000000.0,0.00048808895321585924,0.00027060403064596236
1494.5792379140041,8600000000.0,0.0007027565698567794,0.0004259728422186
2153.9959984827346,8600000000.0,0.0008980300725401629,0.00042092086967849776
3104.3511402950435,8600000000.0,0.0009198283719159182,0.0004330525648179249
4474.008312475691,8600000000.0,0.0014312069476372802,0.0005270220943012095
6447.965927655705,8600000000.0,0.0012270046716095263,0.00036117690541016096
9292.844737966678,8600000000.0,0.0022870498068022593,0.001181059097367413
