# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
5.878016e-03 1.741844e+01
6.597782e-03 1.692715e+01
7.405685e-03 1.643800e+01
8.312515e-03 1.598675e+01
9.330387e-03 1.551711e+01
1.047290e-02 1.508472e+01
1.175531e-02 1.465602e+01
1.319476e-02 1.423016e+01
1.481046e-02 1.382457e+01
1.662401e-02 1.341202e+01
1.865963e-02 1.305708e+01
2.094451e-02 1.267715e+01
2.350918e-02 1.231866e+01
2.638789e-02 1.197591e+01
2.961910e-02 1.162363e+01
3.324598e-02 1.130555e+01
3.731697e-02 1.097999e+01
4.188645e-02 1.065719e+01
4.701547e-02 1.035775e+01
5.277254e-02 1.007508e+01
5.923457e-02 9.775943e+00
6.648788e-02 9.501480e+00
7.462936e-02 9.232554e+00
8.376776e-02 8.962895e+00
9.402517e-02 8.706073e+00
1.055386e-01 8.455664e+00
1.184619e-01 8.225433e+00
1.329676e-01 7.983881e+00
1.492496e-01 7.763226e+00
1.675252e-01 7.542713e+00
1.880388e-01 7.325736e+00
2.110643e-01 7.120013e+00
2.369092e-01 6.918878e+00
2.659189e-01 6.718833e+00
2.984808e-01 6.526836e+00
3.350299e-01 6.349065e+00
3.760545e-01 6.163897e+00
4.221026e-01 5.987963e+00
4.737893e-01 5.819822e+00
5.318051e-01 5.649341e+00
5.969250e-01 5.486815e+00
6.700188e-01 5.327899e+00
7.520629e-01 5.182535e+00
8.441535e-01 5.027952e+00
9.475205e-01 4.888589e+00
1.063545e+00 4.756285e+00
1.193777e+00 4.616260e+00
1.339955e+00 4.485326e+00
1.504034e+00 4.360333e+00
1.688203e+00 4.232962e+00
1.894925e+00 4.112588e+00
2.126959e+00 4.000606e+00
2.387407e+00 3.883991e+00
2.679746e+00 3.768929e+00
3.007883e+00 3.630388e+00
3.376199e+00 3.472672e+00
3.789617e+00 3.306654e+00
4.253658e+00 3.129709e+00
4.774521e+00 2.945345e+00
5.359163e+00 2.758127e+00
6.015396e+00 2.570179e+00
6.751985e+00 2.384742e+00
7.578769e+00 2.199494e+00
8.506793e+00 2.012579e+00
9.548455e+00 1.842278e+00
1.071767e+01 1.673826e+00
1.203005e+01 1.510111e+00
1.350314e+01 1.360369e+00
1.515661e+01 1.216299e+00
1.701254e+01 1.083599e+00
1.909574e+01 9.640898e-01
2.143402e+01 8.523667e-01
2.405863e+01 7.533582e-01
2.700462e+01 6.622329e-01
3.031136e+01 5.820169e-01
3.402300e+01 5.114262e-01
3.818913e+01 4.483790e-01
4.286541e+01 3.931020e-01
4.811431e+01 3.442724e-01
5.400593e+01 3.013879e-01
6.061899e+01 2.639978e-01
6.804182e+01 2.308613e-01
7.637358e+01 2.021658e-01
8.572557e+01 1.769554e-01
9.622271e+01 1.545592e-01
1.080052e+02 1.353070e-01
1.212305e+02 1.185974e-01
1.360753e+02 1.037818e-01
1.527378e+02 9.084003e-02
1.714406e+02 7.948663e-02
1.924336e+02 6.950395e-02
2.159972e+02 6.085420e-02
2.424462e+02 5.331022e-02
2.721339e+02 4.666574e-02
3.054568e+02 4.081507e-02
3.428602e+02 3.569835e-02
3.848436e+02 3.124424e-02
4.319679e+02 2.731917e-02
4.848626e+02 2.390941e-02
5.442344e+02 2.091645e-02
6.108762e+02 1.828543e-02
6.856783e+02 1.597721e-02
7.696400e+02 1.397041e-02
8.638828e+02 1.224457e-02
9.696658e+02 1.071207e-02
1.088402e+03 9.369198e-03
1.221677e+03 8.196464e-03
1.371272e+03 7.168906e-03
1.539186e+03 6.270082e-03
1.727660e+03 5.487915e-03
1.939213e+03 4.798876e-03
2.176670e+03 4.193093e-03
2.443205e+03 3.665610e-03
2.742377e+03 3.206833e-03
3.078182e+03 2.802043e-03
